evaluation_mode,classifier,accuracy,auc,f1,precision,recall,misclassified,total
cv,LDA,0.6991869918699187,0.7475041322314049,0.6942148760330579,0.717948717948718,0.672,74,246
cv,GaussianNB,0.5487804878048781,0.5481322314049587,0.4307692307692308,0.6,0.336,111,246
cv,LogisticRegression,0.6707317073170732,0.7141157024793388,0.6720647773279352,0.680327868852459,0.664,81,246
cv,SGDClassifier,0.6097560975609756,0.6509752066115703,0.625,0.6106870229007634,0.64,96,246
cv,KNeighbors,0.6097560975609756,0.6433388429752066,0.6,0.6260869565217392,0.576,96,246
cv,DecisionTree,0.491869918699187,0.4906115702479339,0.5318352059925093,0.5,0.568,125,246
cv,RandomForest,0.6097560975609756,0.6458181818181818,0.6033057851239669,0.6239316239316239,0.584,96,246
split,LDA,0.74,0.8255999999999999,0.7636363636363637,0.7,0.84,13,50
split,GaussianNB,0.58,0.6696,0.3225806451612903,0.8333333333333334,0.2,21,50
split,LogisticRegression,0.64,0.7647999999999999,0.6666666666666666,0.6206896551724138,0.72,18,50
split,SGDClassifier,0.48,0.7696000000000001,0.6176470588235294,0.4883720930232558,0.84,26,50
split,KNeighbors,0.64,0.708,0.6538461538461539,0.6296296296296297,0.68,18,50
split,DecisionTree,0.62,0.62,0.6274509803921569,0.6153846153846154,0.64,19,50
split,RandomForest,0.66,0.7567999999999999,0.6792452830188679,0.6428571428571429,0.72,17,50
