dataset,classifier,accuracy,auc,f1,precision,recall,misclassified,total
GIST_PCA,LDA,0.6097560975609756,0.647801652892562,0.6307692307692307,0.6074074074074074,0.656,96,246
GIST_PCA,QDA,0.6138211382113821,0.6597685950413225,0.5991561181434599,0.6339285714285714,0.568,95,246
GIST_PCA,GaussianNB,0.6097560975609756,0.6597024793388429,0.5966386554621849,0.6283185840707964,0.568,96,246
GIST_PCA,LogisticRegression,0.6097560975609756,0.6477355371900827,0.6307692307692307,0.6074074074074074,0.656,96,246
GIST_PCA,SGDClassifier,0.3780487804878049,0.35365289256198346,0.31390134529147984,0.35714285714285715,0.28,153,246
GIST_PCA,KNeighbors,0.6951219512195121,0.748099173553719,0.6987951807228916,0.7016129032258065,0.696,75,246
Synthetic_2informative,LDA,0.89,0.9572,0.8888888888888888,0.8979591836734694,0.88,11,100
Synthetic_2informative,QDA,0.92,0.9743999999999999,0.9215686274509803,0.9038461538461539,0.94,8,100
Synthetic_2informative,GaussianNB,0.89,0.9572,0.8888888888888888,0.8979591836734694,0.88,11,100
Synthetic_2informative,LogisticRegression,0.89,0.9567999999999999,0.8888888888888888,0.8979591836734694,0.88,11,100
Synthetic_2informative,SGDClassifier,0.89,0.9563999999999999,0.8952380952380953,0.8545454545454545,0.94,11,100
Synthetic_2informative,KNeighbors,0.91,0.9752,0.912621359223301,0.8867924528301887,0.94,9,100
Synthetic_1informative,LDA,0.98,1.0,0.9795918367346939,1.0,0.96,2,100
Synthetic_1informative,QDA,1.0,1.0,1.0,1.0,1.0,0,100
Synthetic_1informative,GaussianNB,1.0,1.0,1.0,1.0,1.0,0,100
Synthetic_1informative,LogisticRegression,0.99,1.0,0.98989898989899,1.0,0.98,1,100
Synthetic_1informative,SGDClassifier,1.0,1.0,1.0,1.0,1.0,0,100
Synthetic_1informative,KNeighbors,0.99,1.0,0.98989898989899,1.0,0.98,1,100
Synthetic_Blobs,LDA,0.88,0.9636,0.8823529411764706,0.8653846153846154,0.9,12,100
Synthetic_Blobs,QDA,0.89,0.962,0.8910891089108911,0.8823529411764706,0.9,11,100
Synthetic_Blobs,GaussianNB,0.9,0.9608,0.9,0.9,0.9,10,100
Synthetic_Blobs,LogisticRegression,0.89,0.9628,0.8910891089108911,0.8823529411764706,0.9,11,100
Synthetic_Blobs,SGDClassifier,0.84,0.962,0.8297872340425532,0.8863636363636364,0.78,16,100
Synthetic_Blobs,KNeighbors,0.91,0.9623999999999999,0.9142857142857143,0.8727272727272727,0.96,9,100
