n_features,classifier,cv_accuracy_mean,cv_accuracy_std,cv_auc_mean,cv_auc_std,cv_f1_mean,cv_f1_std
10,LogisticRegression,0.6663673469387754,0.06645800470225226,0.6901866666666667,0.06775155135575205,0.645549371263657,0.07215412610456136
10,KNeighbors,0.5728163265306122,0.047259313708463,0.6059133333333334,0.05629923070325009,0.5646549437385017,0.06295570409698104
10,RandomForest,0.5933061224489796,0.03100923536707756,0.65634,0.07241588346335197,0.5997121432027092,0.05338721168479966
25,LogisticRegression,0.6175510204081632,0.07479083703540478,0.6405333333333333,0.05261626280068843,0.596960318509149,0.08323927797710443
25,KNeighbors,0.5690612244897959,0.061298676142254496,0.5718933333333333,0.06566696243588215,0.5708135633363598,0.06803522521588218
25,RandomForest,0.6262040816326531,0.04198045994360017,0.6472666666666667,0.0637795334640266,0.6248695903893473,0.052105313657858914
50,LogisticRegression,0.6013877551020409,0.04188447251549045,0.6141466666666666,0.04518875769726602,0.5761379926623749,0.052982941320817205
50,KNeighbors,0.6055510204081632,0.06343734344301499,0.6105066666666666,0.045252307000736285,0.6106860294945401,0.06937803050893047
50,RandomForest,0.6179591836734695,0.022296326993873728,0.6535599999999999,0.04652854512136725,0.6322759550522353,0.026018998033532966
100,LogisticRegression,0.5401632653061224,0.08219220472334628,0.5775333333333333,0.08682104199635783,0.536487322201608,0.08762336359676123
100,KNeighbors,0.544734693877551,0.03001773736367913,0.5665133333333334,0.0423863793636064,0.5406402321628145,0.08009489086764926
100,RandomForest,0.6138775510204082,0.024706524000688252,0.6319933333333333,0.04923339155943299,0.6180481423338566,0.02954319684002469
all,LogisticRegression,0.5689795918367346,0.025633173009155224,0.6016533333333334,0.06841085553883651,0.5621450013309403,0.05000863661018962
all,KNeighbors,0.5120816326530612,0.041913101034370716,0.5565933333333333,0.04704158160606422,0.5316397085659308,0.05787119796539439
all,RandomForest,0.6298775510204082,0.05344439359743066,0.6406666666666667,0.07798753461647284,0.6259952025909473,0.08047048248401298
